"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.809138125E0	-1.565969136E-1	-4.464678057E-1	-1.180880284E-1	4.876483131E-1
1.819132125E0	-1.486217318E-1	-4.676547530E-1	-1.083027130E-1	5.025125519E-1
1.829126125E0	-1.198664225E-1	-4.743487186E-1	-4.756008267E-2	4.915654865E-1
1.839120125E0	-9.470095653E-2	-4.933232988E-1	-2.857768178E-2	5.031429541E-1
1.849115125E0	6.667452101E-3	-5.740379713E-1	2.119732618E-2	5.744679052E-1
1.859109125E0	1.167883020E-1	-6.418381910E-1	9.553765655E-2	6.593354342E-1
1.869103125E0	1.993411016E-1	-6.673172139E-1	8.643880427E-2	7.017982657E-1
1.879098125E0	3.095211546E-1	-6.412995163E-1	-9.601128101E-4	7.120880118E-1
1.889092125E0	3.557499359E-1	-5.809585896E-1	-1.332288086E-1	6.941331394E-1
1.899086125E0	4.853603413E-1	-5.098638294E-1	-2.086374253E-1	7.342107059E-1
1.909081125E0	6.656287573E-1	-4.779716534E-1	-1.781284082E-1	8.385989947E-1
1.919075125E0	8.524004466E-1	-4.649844758E-1	-5.322544992E-2	9.724351046E-1
1.929069125E0	1.160785743E0	-5.085751031E-1	6.348614395E-2	1.268898210E0
1.939064125E0	1.412917097E0	-7.396102148E-1	2.591830963E-1	1.615714663E0
1.949058125E0	1.625754431E0	-9.453281254E-1	4.105616623E-1	1.924911326E0
1.959052875E0	1.910822713E0	-1.134905382E0	3.955477667E-1	2.257368313E0
1.969046875E0	2.222537048E0	-1.436367063E0	3.905963445E-1	2.674955472E0
1.979041875E0	2.639540442E0	-1.826253263E0	4.893949932E-1	3.246826479E0
1.989035875E0	2.967113450E0	-2.301206511E0	6.579468316E-1	3.812113280E0
1.999029875E0	3.083832937E0	-2.848939467E0	8.178822130E-1	4.277313758E0
2.009024875E0	3.249003038E0	-3.271382672E0	8.809608060E-1	4.694044873E0
2.019018875E0	3.324145022E0	-3.571693913E0	9.155049866E-1	4.964381826E0
2.029012875E0	3.327130318E0	-3.771141562E0	8.632449120E-1	5.102597046E0
2.039007875E0	3.352979397E0	-3.839711275E0	7.970748961E-1	5.159571872E0
2.049001875E0	3.204007545E0	-3.772881986E0	6.614943373E-1	4.993783894E0
2.058995875E0	2.973082872E0	-3.434197807E0	3.952273393E-1	4.559511047E0
2.068990875E0	2.623202444E0	-2.872428317E0	-1.828301543E-1	3.894285861E0
2.078984875E0	2.053406482E0	-2.276674225E0	-8.404846251E-1	3.179015274E0
2.088978875E0	1.295392302E0	-1.481395886E0	-1.587240722E0	2.528222320E0
2.098973875E0	3.416838008E-1	-5.562571002E-1	-2.376576244E0	2.464606342E0
2.108967875E0	-1.155373049E0	2.792263283E-1	-2.657097584E0	2.910845546E0
2.118961875E0	-2.716674280E0	1.743920666E0	-2.703752518E0	4.210921052E0
2.128956875E0	-4.600020634E0	3.946547507E0	-2.852696303E0	6.698753858E0
2.138950875E0	-6.426848971E0	5.946667435E0	-2.915624038E0	9.228656717E0
2.148944875E0	-7.879408436E0	8.115218457E0	-2.588876950E0	1.160362580E1
2.158939875E0	-9.159460421E0	1.039272299E1	-1.188034353E0	1.390380638E1
2.168933875E0	-1.015354965E1	1.210254591E1	8.815911359E-1	1.582224355E1
2.178927875E0	-1.076949417E1	1.355381665E1	3.086170946E0	1.758443635E1
2.188922875E0	-1.086527741E1	1.490710325E1	4.661486857E0	1.902644056E1
2.198916875E0	-1.050938897E1	1.558183335E1	5.229060878E0	1.950855876E1
2.208910875E0	-9.757817693E0	1.543258668E1	4.954158127E0	1.891886414E1
2.218905875E0	-8.613805273E0	1.432750853E1	3.697876242E0	1.712160713E1
2.228899875E0	-7.132829509E0	1.246179416E1	1.788353950E0	1.446968487E1
2.238893875E0	-5.304702213E0	1.014535653E1	2.484481931E-2	1.144852575E1
2.248888875E0	-3.439532806E0	7.353637329E0	-1.085088274E0	8.190469123E0
2.258882875E0	-1.340867414E0	4.488635853E0	-1.180026006E0	4.830966634E0
2.268876875E0	1.000751032E0	1.812387469E0	-4.965490615E-1	2.129040144E0
2.278871875E0	3.316910847E0	-6.849600908E-1	2.776263839E-1	3.398256068E0
2.288865875E0	5.484629225E0	-2.929132276E0	9.429798836E-1	6.288893757E0
